scientific_name
Aplopeltura boa
Berthella plumula
Boettgerilla pallens
Dipsas mikanii
Doratifera casta
Duberria lutrix atriventris
Duberria lutrix lutrix
Endelomyia aethiops
Eterusia aedea
Eterusia aedea cingala
Eterusia aedea formosana
Eterusia aedea micromaculata
Eterusia aedea okinawana
Eterusia aedea sakaguchii
Eterusia aedea sugitanii
Eterusia aedea virescens
Hebenstretia dura
Hebenstretia integrifolia
Hebenstretia repens
Lema bilineata
Pareas atayal
Pareas carinatus
Pareas carinatus carinatus
Pareas carinatus tenasserimicus
Pareas formosensis
Pareas margaritophorus
